Pruning Amount, Pre Fine Tuning Accuracy, Inference Time Pre Pruning, Final Accuracy, Compute Time, Model Size
0.00,41.20,0.05,42.08,0.22,233.08
1.00,43.80,0.09,44.35,0.16,232.34
2.00,38.60,0.05,43.84,0.21,229.35
3.00,33.20,0.05,40.78,0.20,226.95
4.00,40.20,0.05,42.03,0.17,228.97
5.00,34.80,0.05,41.51,0.28,226.00
6.00,29.00,0.04,42.28,0.17,222.45
7.00,24.00,0.05,40.73,0.18,223.93
8.00,31.80,0.05,36.85,0.26,219.31
9.00,27.20,0.05,36.39,0.27,218.57
10.00,23.20,0.04,37.51,0.18,221.11
11.00,20.20,0.05,38.42,0.22,215.47
12.00,20.40,0.06,37.83,0.21,215.28
13.00,16.00,0.05,36.20,0.13,211.75
14.00,19.60,0.05,36.43,0.17,209.94
15.00,21.00,0.05,39.92,0.18,211.91
16.00,13.20,0.05,34.78,0.27,209.46
17.00,13.80,0.04,33.25,0.13,205.48
18.00,10.60,0.05,33.85,0.21,206.97
19.00,11.80,0.10,34.38,0.20,198.50
20.00,8.20,0.05,32.88,0.17,202.72
21.00,12.80,0.05,32.39,0.25,200.87
22.00,6.20,0.06,34.33,0.17,203.56
23.00,2.00,0.05,31.55,0.17,197.83
24.00,4.00,0.04,30.31,0.13,195.99
25.00,4.80,0.05,31.47,0.16,198.60
26.00,3.80,0.05,28.21,0.17,195.12
27.00,3.40,0.05,28.01,0.17,197.75
28.00,2.60,0.04,25.51,0.18,191.46
29.00,1.80,0.06,25.53,0.24,187.96
30.00,5.20,0.04,26.84,0.24,188.38
31.00,1.80,0.05,27.35,0.17,188.83
32.00,3.20,0.04,27.43,0.17,185.89
33.00,3.00,0.05,29.31,0.18,180.76
34.00,1.00,0.05,25.70,0.24,183.43
35.00,1.80,0.05,23.92,0.19,176.01
36.00,1.60,0.05,25.24,0.20,183.10
37.00,1.00,0.05,23.10,0.20,182.42
38.00,1.20,0.05,23.66,0.19,173.95
39.00,1.20,0.06,21.82,0.25,180.52
40.00,1.20,0.04,20.37,0.18,173.15
41.00,0.20,0.05,19.30,0.23,167.96
42.00,1.20,0.05,21.23,0.21,163.42
43.00,0.80,0.05,18.52,0.13,174.47
44.00,0.60,0.05,18.28,0.16,165.39
45.00,0.00,0.05,19.01,0.29,163.61
46.00,0.60,0.05,15.41,0.20,164.05
47.00,0.60,0.05,16.83,0.17,160.61
48.00,0.80,0.05,10.43,0.21,161.59
49.00,0.00,0.04,11.39,0.14,159.24
50.00,0.20,0.05,11.82,0.19,152.45
51.00,0.20,0.05,9.90,0.21,154.01
52.00,0.80,0.05,11.19,0.21,148.92
53.00,0.40,0.04,11.65,0.27,151.56
54.00,0.20,0.05,8.66,0.23,146.45
55.00,0.00,0.04,7.08,0.17,153.64
56.00,0.40,0.04,8.98,0.13,149.60
57.00,0.20,0.05,8.43,0.21,145.07
58.00,0.00,0.05,7.62,0.16,142.19
59.00,0.20,0.06,7.06,0.20,143.77
